,ClusterGenes,HitGenes,GO_term,depth,p_value
122,"['TDH3', 'YMD8', 'TDH2', 'ENO1', 'ADH1', 'MPD2']","['853465', '853106']",GO:0005618,4,0.020101285
123,"['UGA3', 'HAP2', 'PIG2', 'GIS1', 'STD1', 'MNN5', 'UIP4', 'XBP1', 'USV1', 'MHP1', 'GAT2', 'MBR1', 'NVJ1', 'GRX8', 'TGL4', 'BER1', 'ATH1', 'HUT1', 'SVF1', 'AIM18', 'INM1', 'BRE5']","['851384', '854706', '855167', '852614', '851670']",GO:0003700,3,0.024691905
124,"['UGA3', 'HAP2', 'PIG2', 'GIS1', 'STD1', 'MNN5', 'UIP4', 'XBP1', 'USV1', 'MHP1', 'GAT2', 'MBR1', 'NVJ1', 'GRX8', 'TGL4', 'BER1', 'ATH1', 'HUT1', 'SVF1', 'AIM18', 'INM1', 'BRE5']","['851384', '854706', '855167', '855871', '854212', '852614', '851670']",GO:0006366,7,0.028619818
125,"['UGA3', 'HAP2', 'PIG2', 'GIS1', 'STD1', 'MNN5', 'UIP4', 'XBP1', 'USV1', 'MHP1', 'GAT2', 'MBR1', 'NVJ1', 'GRX8', 'TGL4', 'BER1', 'ATH1', 'HUT1', 'SVF1', 'AIM18', 'INM1', 'BRE5']","['851947', '851384', '854706', '855871', '856137', '852614', '851079']",GO:0042221,3,0.028619818
126,"['UGA3', 'HAP2', 'PIG2', 'GIS1', 'STD1', 'MNN5', 'UIP4', 'XBP1', 'USV1', 'MHP1', 'GAT2', 'MBR1', 'NVJ1', 'GRX8', 'TGL4', 'BER1', 'ATH1', 'HUT1', 'SVF1', 'AIM18', 'INM1', 'BRE5']","['853769', '852614', '851079', '854766']",GO:0006091,4,0.08234581
127,"['YJR098C', 'AIM45', 'OSM1', 'YUR1', 'VPS21']","['856112', '853561', '854256', '853510']",GO:0005739,5,0.057371191
128,"['UBC5', 'IRC24', 'VPS62', 'UBP1', 'GTT1', 'HYR1', 'WSC4', 'YPL199C', 'COX10', 'BUB2', 'ECM4', 'RDL1', 'MMS2']","['854854', '853951', '854856', '854855']",GO:0016491,3,0.088949994
129,"['UBC5', 'IRC24', 'VPS62', 'UBP1', 'GTT1', 'HYR1', 'WSC4', 'YPL199C', 'COX10', 'BUB2', 'ECM4', 'RDL1', 'MMS2']","['854459', '854856', '851631', '853951', '855931', '852793']",GO:0016740,3,0.088949994
130,"['UBC5', 'IRC24', 'VPS62', 'UBP1', 'GTT1', 'HYR1', 'WSC4', 'YPL199C', 'COX10', 'BUB2', 'ECM4', 'RDL1', 'MMS2']","['851631', '852793', '851435']",GO:0070647,7,0.088949994
131,"['UBC5', 'IRC24', 'VPS62', 'UBP1', 'GTT1', 'HYR1', 'WSC4', 'YPL199C', 'COX10', 'BUB2', 'ECM4', 'RDL1', 'MMS2']","['851631', '856357']",GO:0009408,4,0.088949994
132,"['UBC5', 'IRC24', 'VPS62', 'UBP1', 'GTT1', 'HYR1', 'WSC4', 'YPL199C', 'COX10', 'BUB2', 'ECM4', 'RDL1', 'MMS2']","['853951', '854856', '855931']",GO:0051186,4,0.094490206
133,"['RGD2', 'BEM3', 'FKS3', 'GDH1', 'BUD2', 'OCA2', 'TRK2']","['853770', '855988', '850497']",GO:0030234,3,0.05318775
134,"['RGD2', 'BEM3', 'FKS3', 'GDH1', 'BUD2', 'OCA2', 'TRK2']","['853770', '855988', '850497']",GO:0023052,2,0.05318775
135,"['ASM4', 'YIR007W', 'YGR017W', 'TCO89', 'DLD2', 'COT1', 'SCW4']","['855922', '853196', '854494']",GO:0005773,5,0.0847689
136,"['ATG3', 'ARG80', 'YOR052C', 'YJL144W', 'MGT1', 'YLR257W', 'RTS3', 'LEU3', 'NRG1', 'CUP2', 'YHR138C', 'RCN2', 'YOL159C', 'YMR209C', 'YHM2', 'GPG1', 'CRG1', 'GYP7', 'SNA3', 'RRD2', 'YET1', 'YDR391C', 'YJL016W', 'YNL092W', 'LEU9']","['856616', '855249', '855632', '851327']",GO:0008168,5,0.027486852
137,"['ATG3', 'ARG80', 'YOR052C', 'YJL144W', 'MGT1', 'YLR257W', 'RTS3', 'LEU3', 'NRG1', 'CUP2', 'YHR138C', 'RCN2', 'YOL159C', 'YMR209C', 'YHM2', 'GPG1', 'CRG1', 'GYP7', 'SNA3', 'RRD2', 'YET1', 'YDR391C', 'YJL016W', 'YNL092W', 'LEU9']","['856540', '855741', '851364']",GO:0007033,5,0.099496763
138,"['ATG3', 'ARG80', 'YOR052C', 'YJL144W', 'MGT1', 'YLR257W', 'RTS3', 'LEU3', 'NRG1', 'CUP2', 'YHR138C', 'RCN2', 'YOL159C', 'YMR209C', 'YHM2', 'GPG1', 'CRG1', 'GYP7', 'SNA3', 'RRD2', 'YET1', 'YDR391C', 'YJL016W', 'YNL092W', 'LEU9']","['851172', '855059', '852710', '851613']",GO:0003700,3,0.099496763
139,"['BIO4', 'BIO3', 'RAD57', 'SSO1', 'DOT1', 'UPS1']","['855795', '855794']",GO:0006766,4,0.044334886
140,"['BIO4', 'BIO3', 'RAD57', 'SSO1', 'DOT1', 'UPS1']","['851567', '852050', '855844']",GO:0051321,3,0.044334886
141,"['BIO4', 'BIO3', 'RAD57', 'SSO1', 'DOT1', 'UPS1']","['850890', '855844']",GO:0008289,3,0.079662159
142,"['ISR1', 'YPL150W']","['855953', '856221']",GO:0016301,5,0.005429609
143,"['ISR1', 'YPL150W']","['855953', '856221']",GO:0006468,7,0.005429609
144,"['ISR1', 'YPL150W']","['855953', '856221']",GO:0016740,3,0.053629564
145,"['LOS1', 'KTI12', 'CGR1', 'ATC1', 'BUD21', 'PUS7', 'YNL022C', 'XKS1', 'MRT4', 'AIR1', 'DPB4', 'SAP185', 'YGR283C', 'SOL1', 'RPA34', 'SRP40', 'NOP12', 'PUF6', 'YPR127W', 'CAR2', 'REX4', 'YJR003C', 'EMI2', 'COG5', 'YGL010W', 'MUB1', 'TRM10', 'TMA16', 'NUC1', 'ASI2', 'YOL092W', 'PPH3', 'RSA3', 'HGH1', 'YJL068C']","['853860', '852107', '854245', '854116', '850918', '852854', '853967', '853200', '854731', '853293']",GO:0005730,5,0.000158785
146,"['LOS1', 'KTI12', 'CGR1', 'ATC1', 'BUD21', 'PUS7', 'YNL022C', 'XKS1', 'MRT4', 'AIR1', 'DPB4', 'SAP185', 'YGR283C', 'SOL1', 'RPA34', 'SRP40', 'NOP12', 'PUF6', 'YPR127W', 'CAR2', 'REX4', 'YJR003C', 'EMI2', 'COG5', 'YGL010W', 'MUB1', 'TRM10', 'TMA16', 'NUC1', 'ASI2', 'YOL092W', 'PPH3', 'RSA3', 'HGH1', 'YJL068C']","['852107', '850918', '854060', '852854', '856245', '853293', '855769', '851699', '853200', '851647', '853860', '853750', '854417', '854075', '853967', '855563', '854245', '853630', '854116', '854731', '854426', '851765', '853222']",GO:0005634,5,0.002117638
147,"['LOS1', 'KTI12', 'CGR1', 'ATC1', 'BUD21', 'PUS7', 'YNL022C', 'XKS1', 'MRT4', 'AIR1', 'DPB4', 'SAP185', 'YGR283C', 'SOL1', 'RPA34', 'SRP40', 'NOP12', 'PUF6', 'YPR127W', 'CAR2', 'REX4', 'YJR003C', 'EMI2', 'COG5', 'YGL010W', 'MUB1', 'TRM10', 'TMA16', 'NUC1', 'ASI2', 'YOL092W', 'PPH3', 'RSA3', 'HGH1', 'YJL068C']","['853860', '852107', '854116', '850918', '854075']",GO:0042273,5,0.006892833
148,"['LOS1', 'KTI12', 'CGR1', 'ATC1', 'BUD21', 'PUS7', 'YNL022C', 'XKS1', 'MRT4', 'AIR1', 'DPB4', 'SAP185', 'YGR283C', 'SOL1', 'RPA34', 'SRP40', 'NOP12', 'PUF6', 'YPR127W', 'CAR2', 'REX4', 'YJR003C', 'EMI2', 'COG5', 'YGL010W', 'MUB1', 'TRM10', 'TMA16', 'NUC1', 'ASI2', 'YOL092W', 'PPH3', 'RSA3', 'HGH1', 'YJL068C']","['853750', '854417', '854060', '853347', '853630']",GO:0008033,8,0.01141618
149,"['LOS1', 'KTI12', 'CGR1', 'ATC1', 'BUD21', 'PUS7', 'YNL022C', 'XKS1', 'MRT4', 'AIR1', 'DPB4', 'SAP185', 'YGR283C', 'SOL1', 'RPA34', 'SRP40', 'NOP12', 'PUF6', 'YPR127W', 'CAR2', 'REX4', 'YJR003C', 'EMI2', 'COG5', 'YGL010W', 'MUB1', 'TRM10', 'TMA16', 'NUC1', 'ASI2', 'YOL092W', 'PPH3', 'RSA3', 'HGH1', 'YJL068C']","['853750', '854060', '854417', '853347']",GO:0009451,6,0.040187604
150,"['LOS1', 'KTI12', 'CGR1', 'ATC1', 'BUD21', 'PUS7', 'YNL022C', 'XKS1', 'MRT4', 'AIR1', 'DPB4', 'SAP185', 'YGR283C', 'SOL1', 'RPA34', 'SRP40', 'NOP12', 'PUF6', 'YPR127W', 'CAR2', 'REX4', 'YJR003C', 'EMI2', 'COG5', 'YGL010W', 'MUB1', 'TRM10', 'TMA16', 'NUC1', 'ASI2', 'YOL092W', 'PPH3', 'RSA3', 'HGH1', 'YJL068C']","['853860', '854417', '854116', '854075', '852854', '854245']",GO:0006364,6,0.040816978
